,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid,configuration
setup1run32,6611.887000000104,270.2390000000087,5.4510000000000005,0.093,148.086,0,160.32000000000002,285.17400000000004,0,0,611.2060000002384,611.8940000003204,0,2,4242.9000000003725,9.300000000745058,noTrans,
setup1run33,6621.884000000544,271.38600000000594,5.801000000000001,0.133,146.88700000000006,0,158.88400000000004,319.253,0,0,567.3690000008792,568.0849999999627,0,2,4143.5,8,noTrans,
setup1run34,6552.9729999993,270.85200000000515,5.800000000000003,0.058,143.282,0,157.577,317.527,0,0,589.609999999404,590.3799999998882,0,2,4159.100000000559,8.400000000372529,noTrans,
setup1run35,7007.326999999583,294.11800000000216,5.87400000000001,0.152,153.064,0,155.128,336.87,0,0,692.936999999918,693.7160000000149,0,2,4506.600000000559,9.200000000186265,noTrans,
setup1run36,6550.137000000104,269.6890000000084,5.464000000000002,0.134,143.51,0,155.356,267.437,0,0,633.8620000006631,634.6690000006929,0,2,3993.4000000003725,8,noTrans,
setup1run37,6772.26099999994,275.43700000000985,6.0550000000000015,0.131,145.57800000000006,0,158.915,310.88800000000003,0,0,747.9189999997616,748.5949999997392,0,2,4319,9.400000000372529,noTrans,
setup1run38,6706.242000000551,277.9700000000064,6.162999999999995,0.069,146.66400000000002,0,156.819,296.524,0,0,749.2920000003651,750.1090000001714,0,2,4253.600000000559,8.200000000186265,noTrans,
setup1run39,6887.6269999993965,267.67600000000806,5.784000000000009,0.079,147.27899999999997,0,166.41899999999998,355.555,0,0,800.3559999996796,801.0999999996275,0,2,4418.5999999996275,14.799999999813735,noTrans,
setup1run40,6710.218000000343,267.328000000007,5.9059999999999935,0.074,146.76999999999998,0,158.391,283.623,0,0,674.9120000004768,675.7470000004396,0,2,4182.800000000745,8.700000000186265,noTrans,
setup1run41,6526.104000000283,267.29500000000485,6.003000000000009,0.068,147.86299999999997,0,158.43300000000002,297.83500000000004,0,0,610.8780000004917,611.5519999992102,0,2,3974.5,7.900000000372529,noTrans,
setup1run42,6577.05700000003,269.39700000000624,5.335000000000004,0.102,147.26800000000003,0,154.81300000000002,321.571,0,0,634.6199999991804,635.2669999990612,0,2,4140.4000000003725,8,noTrans,
setup1run43,6725.128000000492,268.46400000000705,5.037000000000008,0.073,145.353,0,155.48899999999998,345.998,0,0,609.0600000005215,609.9300000015646,0,2,4175.10000000149,8.099999999627471,noTrans,
setup1run44,6679.81799999997,272.8210000000043,5.907999999999994,0.07,145.94299999999996,0,158.142,300.702,0,0,630.4820000007749,631.1710000000894,0,2,4266.4000000003725,7.900000000372529,noTrans,
setup1run45,6718.993000000715,270.68400000000617,5.394000000000002,0.054,142.57299999999998,0,158.50600000000003,329.186,0,0,705.7100000008941,706.3640000000596,0,2,4147.5,7.899999998509884,noTrans,
setup1run46,6927.960999999195,284.3460000000038,5.481000000000004,0.071,157.711,0,165.658,328.857,0,0,845.3849999997765,845.9859999995679,0,2,4513.199999999255,7.800000000745058,noTrans,
setup1run47,6834.5,287.27000000000294,6.164000000000004,0.082,153.877,0,166.545,334.90000000000003,0,0,697.4480000007898,698.2630000002682,0,2,4371.200000001118,8.900000000372529,noTrans,
setup1run48,6904.325999999419,287.8190000000042,5.739999999999999,0.162,152.14799999999997,0,161.739,233.185,0,0,723.4440000001341,724.2929999995977,0,2,4438.199999999255,9.699999999254942,noTrans,
setup1run49,6987.7949999999255,287.0500000000013,6.180999999999996,0.099,154.17,0,169.598,307.253,0,0,738.890000000596,740.156000001356,0,2,4521.9000000003725,8.599999999627471,noTrans,
setup1run50,6648.138000000268,265.4240000000088,5.459000000000003,0.094,145.12499999999997,0,156.285,281.176,0,0,706.0790000017732,706.7580000013113,0,2,4186.199999999255,9.099999999627471,noTrans,
setup1run51,6569.815000001341,271.9780000000042,5.372999999999995,0.048,146.85899999999998,0,158.45600000000002,293.833,0,0,593.371000001207,594.0450000017881,0,2,4018.2000000011176,8.099999999627471,noTrans,
setup1run52,6390.845000000671,266.30200000000764,6.885999999999996,0.105,143.20199999999997,0,158.966,314.619,0,0,581.410000000149,582.3620000015944,0,2,3990.2000000011176,8.200000001117587,noTrans,
setup1run53,6906.175999999046,280.31000000000114,5.8069999999999915,0.106,152.75799999999998,0,165.075,315.09299999999996,0,0,754.3389999996871,755.0800000000745,0,2,4378.60000000149,8.400000000372529,noTrans,
setup1run54,6604.866999998689,284.5080000000011,5.788999999999995,0.06,150.13199999999998,0,161.78500000000003,325.59700000000004,0,0,593.1659999992698,594.7199999988079,0,2,4243.699999999255,8.199999999254942,noTrans,
setup1run55,6631.824999999255,267.2810000000062,5.329999999999998,0.066,153.69899999999998,0,158.41300000000004,311.91499999999996,0,0,602.5759999994189,603.2929999995977,0,2,4138.200000001118,8.199999999254942,noTrans,
setup1run56,6932.597999999687,283.38000000000073,6.396000000000001,0.2,154.54299999999998,0,170.24599999999998,325.68800000000005,0,0,761.6630000006407,762.5099999997765,0,2,4437.4000000003725,9.400000000372529,noTrans,
setup1run57,7140.31799999997,295.8589999999992,6.478999999999994,0.094,144.453,0,154.822,306.409,0,0,722.8700000010431,723.7039999999106,0,2,4606.4000000003725,7.700000001117587,noTrans,
setup1run58,6865.901000000536,273.06000000000637,6.098000000000001,0.079,143.813,0,158.86700000000002,296.626,0,0,762.5059999991208,763.2770000007004,0,2,4265.699999999255,8.399999998509884,noTrans,
setup1run59,6988.557999998331,289.1930000000013,5.540000000000012,0.065,154.847,0,170.686,277.927,0,0,687.663999998942,688.4409999996424,0,2,4527.300000000745,9.200000001117587,noTrans,
setup1run60,6885.968000000343,274.6190000000075,5.718000000000001,0.12,146.799,0,157.297,317.265,0,0,799.6490000002086,800.4769999999553,0,2,4330.800000000745,8.400000000372529,noTrans,
setup2run0,6451.721000000005,230.8860000000077,5.773000000000004,0.174,148.8,0,165.53099999999998,297.028,0,0,637.3570000000036,638.0270000000019,0,2,3979.899999999994,7.80000000000291,smallMeta,
setup2run1,6613.83699999997,240.27600000000285,5.3250000000000055,0.107,146.63099999999997,0,165.78199999999998,242.409,0,0,665.7839999999851,667.2410000000091,0,2,4195.5,9.200000000011642,smallMeta,
setup2run2,6690.233999999997,236.09400000000514,6.0250000000000075,0.095,154.77200000000002,0,168.557,314.923,0,0,652.2989999999991,652.994000000006,0,2,4223.600000000035,7.7999999999883585,smallMeta,
setup2run3,6575.381000000052,242.28900000000013,5.245000000000009,0.1,150.45299999999992,0,168.939,321.966,0,0,557.7170000000624,558.4300000000512,0,2,4126.300000000047,8.400000000023283,smallMeta,
setup2run4,6671.686999999918,236.65200000000345,5.822000000000001,0.07,146.38699999999997,0,169.607,285.412,0,0,662.0149999998976,662.7609999999404,0,2,4192.5,8.199999999953434,smallMeta,
setup2run5,6655.4700000000885,238.66700000000478,5.522000000000005,0.115,147.96400000000003,0,167.449,331.04,0,0,608.9250000000466,609.5810000000056,0,2,4167.099999999977,8.600000000093132,smallMeta,
